project_id,project_type,district,apply_date,estimated_cost,area_sqm,status,actual_cost,issue_date
P0001,工业,番禺区,2024-03-30,35010000,18685,审批中,\N,\N
P0002,仓储,番禺区,2023-06-09,45070000,13177,已签发,42346959.0,2023-09-27
P0003,市政,番禺区,2024-06-06,45860000,20074,已驳回,\N,\N
P0004,仓储,番禺区,2024-10-11,21900000,7874,已签发,21127017.0,2024-12-07
P0005,仓储,海珠区,2024-08-12,16940000,29238,审批中,\N,\N
P0006,商业,海珠区,2023-03-18,28500000,29515,已驳回,\N,\N
P0007,市政,白云区,2024-05-23,1910000,3876,已签发,2046224.0,2024-07-30
P0008,市政,天河区,2024-03-16,15050000,2626,审批中,\N,\N
P0009,市政,番禺区,2023-09-11,48460000,24673,已签发,58729079.0,2023-12-28
P0010,仓储,白云区,2023-11-16,21460000,3162,已签发,27662868.0,2024-01-22
P0011,工业,天河区,2023-09-20,13750000,30143,已签发,18238980.0,2024-01-10
P0012,市政,黄埔区,2024-08-19,12630000,1059,已签发,15963184.0,2024-10-25
P0013,仓储,海珠区,2024-10-19,12090000,45016,审批中,\N,\N
P0014,商业,天河区,2024-07-07,47000000,4338,已驳回,\N,\N
P0015,工业,黄埔区,2024-01-09,45490000,35392,审批中,\N,\N
P0016,商业,天河区,2024-09-28,47470000,25840,已驳回,\N,\N
P0017,工业,海珠区,2023-06-16,3900000,10609,已驳回,\N,\N
P0018,仓储,海珠区,2024-04-03,38780000,4217,已签发,38486618.0,2024-07-22
P0019,住宅,白云区,2023-10-07,20180000,10651,已签发,22953894.0,2024-01-06
P0020,工业,番禺区,2024-11-30,7530000,28527,已签发,7286533.0,2024-12-25
P0021,商业,天河区,2023-10-29,44630000,10478,审批中,\N,\N
P0022,仓储,天河区,2024-06-14,24790000,25144,已驳回,\N,\N
P0023,工业,黄埔区,2024-08-02,18500000,43964,已签发,19224931.0,2024-09-09
P0024,住宅,海珠区,2023-08-06,49620000,1334,审批中,\N,\N
P0025,住宅,天河区,2023-04-12,46980000,30331,审批中,\N,\N
P0026,市政,海珠区,2024-07-07,9050000,38087,已签发,10143208.0,2024-07-28
P0027,市政,天河区,2023-10-15,18620000,38662,已签发,24490082.0,2024-01-31
P0028,商业,白云区,2023-06-16,29160000,22720,已签发,29029619.0,2023-06-30
P0029,工业,番禺区,2024-09-12,36920000,22069,已签发,50669944.0,2024-12-11
P0030,工业,天河区,2023-02-05,2320000,37132,已签发,2025656.0,2023-05-31
P0031,市政,海珠区,2023-12-19,31620000,5239,已签发,25642714.0,2024-01-29
P0032,工业,白云区,2024-11-06,45420000,21481,已签发,60975496.0,2025-01-28
P0033,工业,天河区,2023-03-14,15670000,47599,已签发,13181434.0,2023-05-05
P0034,住宅,黄埔区,2024-10-09,14060000,10642,已驳回,\N,\N
P0035,市政,番禺区,2023-12-19,22240000,8452,已签发,30487439.0,2024-03-06
P0036,仓储,天河区,2023-03-11,36790000,27786,审批中,\N,\N
P0037,市政,白云区,2024-02-29,36780000,17768,已签发,41287417.0,2024-06-23
P0038,仓储,黄埔区,2024-12-08,41460000,21010,已签发,37768077.0,2024-12-26
P0039,住宅,白云区,2024-07-14,32890000,1751,已驳回,\N,\N
P0040,商业,白云区,2024-10-03,37410000,12825,已签发,31306748.0,2024-11-14
P0041,工业,黄埔区,2024-05-31,680000,34597,已签发,635361.0,2024-09-17
P0042,住宅,白云区,2024-03-03,34530000,26449,审批中,\N,\N
P0043,工业,黄埔区,2024-06-22,47290000,1561,已签发,50278184.0,2024-07-19
P0044,商业,天河区,2023-06-09,46010000,26349,已签发,63792761.0,2023-06-27
P0045,商业,黄埔区,2023-05-29,30540000,4570,已签发,39235330.0,2023-08-08
P0046,住宅,黄埔区,2023-08-18,11820000,5483,已签发,14685711.0,2023-10-23
P0047,商业,番禺区,2024-12-12,33890000,7810,已签发,38032198.0,2025-01-19
P0048,仓储,黄埔区,2024-07-15,33610000,43526,已签发,43827394.0,2024-10-10
P0049,商业,黄埔区,2023-03-08,34220000,15124,已驳回,\N,\N
P0050,工业,天河区,2024-01-16,10370000,47807,审批中,\N,\N
P0051,工业,番禺区,2023-02-27,33710000,44917,审批中,\N,\N
P0052,工业,海珠区,2023-09-16,46650000,10826,审批中,\N,\N
P0053,工业,天河区,2023-12-08,2230000,34961,已驳回,\N,\N
P0054,仓储,天河区,2023-05-10,37910000,1069,已签发,49532785.0,2023-08-06
P0055,市政,海珠区,2024-12-27,31020000,31752,已驳回,\N,\N
P0056,住宅,黄埔区,2023-06-21,7760000,1214,审批中,\N,\N
P0057,工业,白云区,2024-09-05,38100000,10303,审批中,\N,\N
P0058,商业,番禺区,2023-07-28,19250000,17186,已签发,19168558.0,2023-10-02
P0059,工业,白云区,2023-12-20,40830000,44981,已签发,33172530.0,2024-02-16
P0060,商业,海珠区,2024-04-15,10390000,30671,已签发,13055363.0,2024-06-07
P0061,商业,天河区,2023-04-26,37940000,33658,审批中,\N,\N
P0062,工业,天河区,2023-09-21,27360000,25269,已签发,36082133.0,2023-12-19
P0063,仓储,番禺区,2024-10-23,4690000,17073,审批中,\N,\N
P0064,商业,天河区,2024-03-17,6430000,23448,已签发,5807099.0,2024-04-09
P0065,商业,天河区,2024-07-01,18240000,23824,已签发,19807105.0,2024-07-13
P0066,工业,番禺区,2024-03-28,25090000,43716,已签发,31180051.0,2024-06-07
P0067,商业,番禺区,2024-04-21,9850000,29261,已签发,8701503.0,2024-08-14
P0068,商业,海珠区,2023-10-14,38580000,24370,已签发,41050765.0,2023-12-26
P0069,工业,天河区,2023-10-30,3810000,8224,已签发,4151798.0,2024-02-18
P0070,工业,天河区,2023-11-07,34990000,16878,已过期,\N,\N
P0071,住宅,海珠区,2023-07-27,27520000,38456,已签发,23924099.0,2023-11-19
P0072,仓储,黄埔区,2024-09-09,40560000,20611,已签发,52803139.0,2024-12-09
P0073,仓储,黄埔区,2024-03-21,39180000,44003,审批中,\N,\N
P0074,商业,黄埔区,2024-10-31,42500000,19496,已驳回,\N,\N
P0075,仓储,海珠区,2024-09-24,2510000,26493,审批中,\N,\N
P0076,商业,天河区,2023-02-24,25470000,27372,已签发,35364490.0,2023-06-02
P0077,住宅,海珠区,2023-01-12,18920000,21328,已驳回,\N,\N
P0078,工业,海珠区,2024-10-18,19160000,18457,审批中,\N,\N
P0079,工业,黄埔区,2024-02-04,20460000,13055,已签发,27151433.0,2024-04-30
P0080,工业,白云区,2024-10-09,9590000,19842,已签发,13152781.0,2024-12-25
P0081,仓储,天河区,2024-05-29,43550000,35785,已签发,54556049.0,2024-08-24
P0082,住宅,黄埔区,2024-10-17,47080000,20225,已签发,50247154.0,2025-01-31
P0083,仓储,白云区,2024-06-25,32390000,4658,已驳回,\N,\N
P0084,仓储,白云区,2023-08-25,8200000,5507,已签发,10008601.0,2023-10-25
P0085,住宅,番禺区,2023-10-06,32050000,41901,已驳回,\N,\N
P0086,住宅,天河区,2023-12-14,25510000,18625,已签发,27252858.0,2023-12-31
P0087,住宅,白云区,2024-09-18,27640000,43627,已签发,35873755.0,2024-11-10
P0088,住宅,黄埔区,2023-04-14,47740000,28473,已签发,56945952.0,2023-07-30
P0089,工业,番禺区,2024-09-21,36350000,38706,已签发,38048360.0,2025-01-16
P0090,市政,天河区,2024-05-31,16780000,5868,审批中,\N,\N
P0091,市政,海珠区,2023-09-05,4360000,26134,审批中,\N,\N
P0092,住宅,黄埔区,2023-12-30,34710000,47395,已签发,36129589.0,2024-02-08
P0093,市政,白云区,2023-11-17,40580000,7897,已签发,51775093.0,2024-01-10
P0094,市政,白云区,2024-09-24,41430000,24617,已签发,38625407.0,2024-10-12
P0095,住宅,黄埔区,2023-10-13,44130000,16646,审批中,\N,\N
P0096,市政,白云区,2023-05-29,25160000,40797,已签发,34481558.0,2023-07-09
P0097,仓储,番禺区,2023-03-25,23320000,10951,已签发,21592887.0,2023-05-06
P0098,商业,天河区,2024-02-10,19060000,46418,审批中,\N,\N
P0099,商业,番禺区,2024-03-31,20480000,7552,已驳回,\N,\N
P0100,住宅,白云区,2023-06-10,12860000,13716,已签发,15957011.0,2023-09-03
P0101,工业,海珠区,2024-04-04,47190000,23499,已签发,57560376.0,2024-05-12
